acc_p_peakXY1,1,2,23,0,1,1,14,2,5,0,0,2,0,1,7,0,10,3,1,0,14,2,3,6,0,0,1,7,1,14,1,1,1,6,0,0,2,15,3,10,9,1,1,4,2,2,1,8,2,0,13,1,2,24,1,1,2,2,0,1,18,3,11,2,2,0,16,2,5,2,1,2,0,0,2,12,14,1,3,0,0,1,11,1,1,14,1,26,25,1,3,26,4.82,6.64
acc_t_max_z,0,1,15,0,0,0,24,0,2,1,0,0,0,0,0,0,7,3,0,0,26,0,0,5,1,0,0,9,0,18,0,0,0,2,0,0,0,23,0,8,5,0,0,8,0,1,0,11,2,0,18,0,0,26,0,0,0,0,0,0,28,0,14,0,2,0,30,0,11,0,0,0,0,1,2,5,13,0,0,0,0,0,11,6,0,28,0,30,10,0,0,25,4.7,8.47
acc_a_cftor_x,2,1,13,1,1,1,9,1,5,1,1,2,2,2,2,2,10,4,0,0,34,2,0,5,2,1,2,6,2,15,0,2,1,4,2,2,0,9,1,6,9,1,1,4,1,2,0,15,3,1,15,1,2,30,1,1,2,1,2,2,17,0,8,2,3,1,19,1,5,2,2,0,2,1,3,7,10,1,2,2,1,1,11,7,1,14,1,13,28,2,0,9,4.63,6.53
gyro_a_std_a,0,0,19,0,0,0,16,0,3,0,0,0,0,0,3,0,15,4,0,1,18,2,0,8,0,1,0,4,0,25,0,0,0,4,1,1,0,12,0,5,6,0,0,1,1,0,2,26,0,1,26,0,0,15,0,0,0,0,0,0,29,0,9,0,1,0,26,0,9,0,1,0,0,0,0,4,24,0,3,0,0,0,15,5,0,12,1,16,25,0,1,17,4.54,7.89
gyro_p_interq_y,1,1,13,1,1,1,14,1,4,1,1,1,1,1,4,0,11,2,2,1,21,1,1,8,0,0,1,7,1,20,0,1,1,2,0,0,2,19,1,9,16,0,0,2,1,0,0,5,3,0,16,1,1,22,1,1,1,1,0,1,23,1,12,1,5,0,13,1,5,1,0,1,0,0,0,10,8,1,2,0,0,1,10,4,1,20,0,26,16,1,1,24,4.53,6.79
gyro_a_std_y,2,2,10,1,2,2,12,2,3,1,2,3,2,3,3,3,9,2,1,1,18,3,1,4,1,1,3,9,2,10,0,2,2,3,1,1,1,18,2,10,8,1,1,5,1,5,1,8,3,1,15,2,2,18,1,3,2,2,2,3,9,1,6,3,4,1,26,2,5,3,3,1,2,1,2,6,12,2,3,2,1,2,14,9,2,14,0,12,8,2,1,14,4.51,5.0
acc_a_mainX_x,1,1,9,0,0,1,19,0,10,0,0,0,1,1,4,0,15,5,0,0,24,4,0,10,1,0,0,11,1,21,0,1,1,8,1,1,0,14,0,10,11,0,1,6,0,7,0,4,3,1,17,0,0,4,1,1,1,1,1,1,16,0,17,0,2,0,16,1,12,0,0,1,0,0,5,2,21,0,6,0,1,1,14,1,1,9,1,16,16,1,0,8,4.38,6.23
acc_a_skew_z,1,1,6,1,1,1,5,1,6,0,1,0,1,1,1,1,8,2,0,1,15,2,0,4,1,1,0,10,0,18,0,1,1,2,0,0,1,15,1,6,8,1,1,1,2,2,0,7,2,1,14,1,1,18,1,1,1,1,1,1,10,1,15,1,2,1,9,1,7,1,1,1,1,1,2,4,16,1,2,1,1,1,16,5,1,13,1,29,23,1,1,30,4.15,6.35
gyro_a_skew_a,0,0,5,0,0,0,23,0,11,1,0,0,0,0,1,0,5,2,0,0,28,1,0,5,0,0,0,13,1,15,0,0,0,1,0,1,0,9,1,7,5,0,0,3,0,2,0,6,3,0,8,0,0,28,0,0,0,0,0,0,17,0,11,0,1,0,15,0,6,0,0,0,0,0,6,12,7,0,2,1,0,0,6,7,0,19,0,29,35,0,0,20,4.12,7.58
gyro_t_zaCor,0,0,11,1,0,0,26,0,1,0,1,1,1,0,3,0,8,2,2,2,21,1,1,4,1,1,1,8,0,17,1,0,1,1,1,0,1,17,0,9,7,1,2,6,2,3,1,3,0,2,11,1,0,13,0,1,0,0,0,0,11,0,8,0,0,0,10,0,12,0,1,0,0,2,6,5,9,0,1,0,1,2,18,5,2,17,2,17,23,0,0,24,4.07,6.28
acc_f_skew_a,1,0,6,1,0,1,19,1,5,1,3,1,1,1,2,1,4,1,3,0,17,0,0,5,1,1,1,10,1,10,0,1,0,2,1,0,0,23,2,1,3,0,0,2,0,1,0,6,2,0,5,0,1,28,1,0,1,1,2,1,26,0,5,1,0,1,11,0,3,1,2,0,1,0,1,1,7,0,0,1,0,0,6,1,0,14,1,30,32,1,0,45,4.05,8.09
