gyro_t_skew_z,1,0,1,1,0,1,1,1,0,1,0,0,2,1,1,0,0,0,0,1,0,1,1,2,6,1,0,1,1,2,1,1,0,3,1,4,2,1,3,1,0,1,2,1,2,0,0,0,2,1,1,0,0,2,0,1,1,1.02,1.11
acc_f_skew_x,0,3,0,4,0,1,0,0,0,2,0,0,6,3,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,2,1,1,0,2,1,2,6,0,2,1,0,0,4,0,2,0,0,0,3,0,0,0,1,2,1,0,0,1.0,1.49
gyro_p_lgEnergy_z,0,3,0,3,0,0,0,0,0,2,1,0,15,1,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1,2,2,0,0,1,4,1,0,1,1,0,0,2,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0.98,2.27
gyro_t_yzCor,0,1,0,2,0,0,0,0,0,2,0,0,5,4,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,3,1,1,0,2,0,3,4,0,3,0,1,0,4,0,3,0,0,0,3,0,0,0,4,2,0,0,0,0.96,1.46
acc_p_skew_a,0,8,0,3,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,1,9,1,0,2,1,5,1,0,2,1,0,0,3,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0.95,1.76
gyro_a_sma_z,1,2,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,4,1,0,2,1,3,1,0,3,1,0,0,5,0,2,0,0,0,5,0,0,0,3,5,0,0,0,0.93,1.5
acc_a_std_y,0,3,0,7,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,7,4,0,3,0,0,0,6,0,1,0,0,0,3,0,0,0,8,1,0,0,0,0.93,1.95
acc_vardif,0,4,0,2,0,0,0,0,0,4,0,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,6,0,0,0,0,2,9,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,1,2,1,0,0,0.93,1.91
acc_f_amp_y,0,1,0,2,0,0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,3,4,0,2,0,0,0,4,1,0,0,0,0,1,0,5,1,1,0,4,0,4,0,0,0,2,0,0,0,2,3,1,1,0,0.89,1.41
acc_a_subX_a,0,2,0,2,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,4,1,0,2,1,0,1,1,0,0,2,0,2,1,0,3,0,0,0,4,1,2,0,0,0,5,0,0,0,3,3,0,0,1,0.89,1.36
