acc_t_kurt_z,2,2,11,5,31,4,3,2,0,8,15,18,1,0,2,0,10,0,1,2,12,2,2,2,1,4,0,3,0,0,7,1,6,2,1,2,2,6,2,1,3,2,10,2,3,1,1,2,3,2,1,4,13,4,2,2,1,0,1,5,12,5,5,6,13,4,1,16,14,4,3,4,0,2,1,0,3,1,0,32,16,1,2,0,2,0,2,5,1,1,4,1,1,8,1,16,14,0,2,4.42,5.9
acc_fea_infory,0,0,14,9,19,5,5,2,0,9,15,14,0,0,0,0,11,1,1,5,8,2,0,0,5,7,1,0,0,1,5,1,0,1,0,0,4,7,0,1,7,6,24,2,5,1,1,2,4,2,1,1,9,2,7,2,0,0,4,3,11,5,9,10,13,4,0,13,7,4,1,3,0,1,3,1,5,1,0,18,19,1,0,0,2,0,16,4,1,0,0,0,1,16,0,22,7,0,0,4.38,5.63
gyro_a_skew_a,0,2,10,7,8,6,6,2,0,7,6,4,1,1,0,0,10,1,0,5,11,1,0,1,0,7,1,2,0,4,8,0,0,1,0,0,5,2,0,0,6,10,18,6,0,1,1,1,4,2,1,0,0,3,6,1,0,1,1,11,2,13,7,6,10,5,0,9,11,3,0,4,0,1,7,1,3,1,0,35,15,1,0,1,4,1,23,7,1,1,2,1,1,7,0,19,8,0,0,4.06,5.59
acc_t_zaCor,0,0,15,13,10,1,3,0,0,3,19,16,1,2,0,1,8,1,0,3,12,0,0,0,7,4,1,1,0,2,3,0,2,0,0,2,1,10,0,0,2,4,27,2,6,0,0,1,1,2,0,3,10,2,2,0,0,0,5,7,6,5,5,4,8,4,0,12,6,4,1,5,1,2,4,1,2,0,1,20,26,0,0,1,6,2,15,6,0,0,3,0,0,8,0,19,7,1,1,4.05,5.71
acc_a_skew_a,0,1,13,2,19,6,3,1,2,9,27,18,1,0,1,1,5,0,0,1,9,2,1,2,2,1,0,0,1,2,4,0,0,0,1,1,4,6,1,1,3,2,25,2,5,2,1,0,2,1,1,0,17,1,1,0,0,0,5,13,10,9,9,1,4,5,1,8,8,5,1,1,0,0,8,2,3,2,2,19,20,0,1,1,2,2,13,3,2,0,0,1,0,6,3,10,2,0,1,3.98,5.68
acc_f_peakXY2,1,1,6,5,15,2,5,8,1,5,8,26,1,1,1,1,2,2,3,3,19,2,3,6,0,3,1,3,2,2,3,3,2,0,1,3,4,8,1,1,2,3,12,3,9,1,1,5,4,1,1,5,7,2,5,5,1,1,2,5,5,3,5,7,7,1,1,2,6,0,4,4,1,2,3,1,2,1,1,20,9,1,1,0,2,1,7,3,0,1,2,1,1,15,1,23,5,4,1,3.97,4.76
acc_a_peakXY1,0,1,26,5,7,0,5,3,0,4,14,59,1,1,0,0,6,1,1,3,9,1,0,0,2,3,2,1,0,1,8,1,0,1,0,1,1,5,0,0,3,5,13,1,4,1,1,4,3,1,1,4,13,0,2,1,0,0,4,5,2,7,5,3,4,5,1,7,12,3,1,1,0,2,2,1,2,2,0,18,16,1,0,1,2,1,9,3,1,1,0,1,2,13,0,15,5,0,1,3.93,7.23
gyro_t_kurt_x,1,1,9,8,26,5,6,0,1,6,16,9,0,0,2,1,10,0,0,3,21,1,0,2,2,2,0,2,1,0,5,0,2,0,2,0,3,2,1,0,3,4,13,5,5,1,2,1,2,1,0,0,15,1,3,0,1,0,4,5,7,8,8,6,9,5,1,7,2,2,3,0,0,2,4,1,3,1,0,29,22,0,1,1,0,2,11,6,1,0,1,0,1,7,1,10,4,0,2,3.88,5.53
acc_t_skew_a,0,1,8,3,8,3,9,1,0,6,6,14,0,0,0,0,13,0,2,2,13,0,0,0,5,3,0,1,0,1,6,0,2,0,0,1,3,2,0,1,7,5,25,4,10,0,1,2,1,1,0,0,4,2,3,1,0,0,2,11,7,5,7,6,8,2,2,9,10,8,1,3,3,1,5,0,1,0,0,24,14,4,0,0,2,0,12,1,1,3,1,0,1,11,0,23,5,0,0,3.77,5.2
acc_a_peakXY5,1,1,11,2,24,7,3,2,2,15,18,9,0,0,2,2,4,1,0,1,2,0,0,2,4,1,0,2,1,1,3,0,0,1,1,0,2,4,2,1,0,0,10,1,1,1,3,1,4,0,0,0,10,1,3,1,0,1,7,9,3,7,4,4,6,0,0,13,2,1,0,1,0,1,2,0,0,0,1,57,33,0,1,0,3,1,9,1,0,0,1,0,0,9,1,14,6,0,0,3.7,7.53
acc_a_mainY_y,0,1,13,6,16,5,5,1,0,8,11,6,0,1,0,0,15,0,0,1,9,0,0,1,3,5,1,0,0,1,2,0,1,1,0,1,1,9,0,0,2,3,23,2,3,0,0,1,1,2,0,1,10,1,4,2,0,1,3,3,5,3,4,3,8,0,0,11,12,1,0,2,0,2,3,1,2,0,1,36,10,0,0,1,3,2,22,4,0,0,0,0,0,12,0,21,10,0,0,3.69,6.0
acc_f_difX_y,0,2,8,1,10,7,3,6,0,7,23,10,2,0,0,0,2,3,2,1,22,1,0,0,4,1,1,1,0,3,5,1,0,2,0,1,3,3,0,0,4,3,22,3,10,2,2,3,2,1,1,1,5,1,6,3,1,1,2,2,3,6,3,4,3,2,1,4,8,4,2,4,1,3,3,1,2,1,0,11,15,2,0,1,4,2,14,4,1,2,3,1,1,13,0,17,4,1,0,3.65,4.77
gyro_t_xaCor,0,2,14,11,12,2,1,2,1,2,10,20,0,0,0,1,5,1,2,2,15,1,0,3,1,2,1,2,0,2,1,2,1,1,0,3,5,4,0,1,2,4,9,3,6,0,2,3,4,2,1,3,9,1,4,2,0,1,3,6,11,7,10,5,7,3,1,16,3,1,3,3,1,2,6,0,3,1,0,13,15,1,0,1,3,0,12,3,1,1,3,0,1,7,0,6,10,2,0,3.64,4.28
gyro_t_max_y,0,0,6,8,23,3,4,0,1,12,5,5,1,0,0,0,13,0,0,3,26,0,0,0,2,3,0,0,0,0,2,0,1,0,0,1,4,5,0,0,4,10,12,2,5,0,2,0,0,0,0,0,7,3,2,0,0,0,9,6,14,4,4,3,15,3,1,17,9,2,0,0,1,2,3,1,7,0,0,9,27,0,0,0,2,1,15,2,0,0,1,0,0,4,0,8,7,0,0,3.56,5.6
gyro_a_entr_a,0,0,11,0,8,5,3,2,1,6,15,37,0,0,0,0,14,0,0,2,2,0,1,1,1,2,0,1,0,3,4,0,3,1,1,2,5,5,1,0,3,4,13,2,5,0,2,1,2,1,1,3,13,3,2,1,1,0,4,4,4,7,7,4,8,0,1,11,1,3,1,3,0,3,0,0,3,0,0,21,17,0,0,0,2,3,10,3,0,0,0,0,0,11,1,15,7,0,0,3.52,5.53
acc_t_max_z,0,3,4,7,10,5,1,5,3,4,10,10,0,1,0,3,8,1,2,1,34,1,0,2,6,2,1,2,0,1,3,2,0,0,0,2,0,6,1,3,7,2,10,1,2,1,1,2,0,1,2,2,4,2,2,2,0,1,4,4,3,3,7,5,8,2,1,7,5,0,2,0,2,0,4,1,5,1,2,20,10,2,0,1,1,1,9,2,1,2,0,1,1,9,2,15,6,2,0,3.4,4.66
gyro_a_amp_y,1,0,8,3,17,7,5,1,1,10,14,9,0,0,2,1,6,0,0,2,6,2,1,2,2,3,0,2,2,1,3,0,2,2,1,2,4,3,1,1,4,3,11,2,4,1,2,1,4,0,1,3,8,1,4,1,1,0,6,5,4,8,6,5,6,5,1,6,5,7,2,0,0,4,2,1,2,1,2,15,8,0,1,1,4,2,5,2,1,0,2,0,1,9,1,13,5,0,2,3.31,3.51
acc_t_lgEnergy_y,0,1,11,2,13,5,3,0,0,6,6,31,1,1,0,0,2,0,0,2,13,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,3,10,1,0,2,1,1,4,1,0,0,6,1,3,1,0,1,2,4,5,4,3,3,7,4,1,7,9,2,1,1,0,4,3,1,1,1,0,27,13,0,0,1,4,1,10,0,1,1,1,0,1,4,1,31,10,0,1,3.19,5.67
gyro_p_lgEnergy_y,0,1,10,3,21,3,3,2,0,5,4,13,0,0,1,1,12,0,1,2,4,1,1,2,3,4,0,0,0,2,2,0,1,1,0,0,2,10,0,1,0,4,11,3,7,0,1,1,3,1,0,3,8,4,5,1,0,0,7,3,3,15,5,3,7,2,0,9,0,2,0,2,1,3,1,0,2,0,0,19,7,1,3,0,5,0,8,3,0,1,1,0,1,10,0,11,5,1,0,3.12,4.17
acc_a_entr_x,0,0,8,5,22,1,0,0,0,8,7,7,0,0,0,0,10,0,0,0,46,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,4,0,7,0,0,0,2,0,0,0,1,0,8,0,2,0,1,0,5,1,9,3,3,3,10,1,1,14,7,2,2,5,0,2,2,0,4,0,0,10,28,1,1,0,0,1,12,3,0,0,0,0,0,3,0,13,15,0,0,3.11,6.49
gyro_t_skew_z,0,2,12,1,10,1,1,1,1,3,13,11,0,2,0,2,6,1,0,1,18,0,0,1,0,1,1,1,0,0,2,0,1,0,0,1,5,1,1,0,4,3,22,4,6,2,0,1,0,2,0,1,7,2,1,1,0,2,1,6,2,5,6,0,5,4,0,6,0,0,0,2,1,2,5,1,0,0,2,13,6,0,0,3,0,3,15,2,1,0,4,1,0,8,0,21,10,2,2,3.01,4.51
gyro_a_mainX_z,0,3,13,5,10,3,2,1,1,6,16,9,0,0,0,0,15,0,0,3,6,0,0,2,0,3,0,1,0,0,5,0,1,2,1,1,1,4,0,0,4,0,12,2,0,0,1,1,1,1,0,1,13,1,2,1,0,1,2,2,4,3,6,4,8,1,0,8,12,7,0,2,0,1,0,0,1,0,0,14,12,0,0,0,0,2,9,2,0,0,0,1,0,10,1,17,6,0,0,2.93,4.27
acc_a_kurt_a,0,0,17,0,18,2,0,3,0,4,16,10,0,0,0,0,1,1,0,2,5,0,0,0,4,1,0,0,0,1,2,0,0,1,1,0,0,8,0,0,4,1,12,0,10,0,0,1,1,0,0,0,4,2,2,0,1,1,1,11,1,2,1,5,3,1,0,5,4,1,0,1,0,1,7,0,0,0,0,18,24,0,0,0,1,0,20,3,0,0,3,0,0,12,0,20,2,1,0,2.87,5.26
gyro_a_peakXY5,1,2,12,9,3,3,4,3,1,5,3,4,1,0,2,0,12,0,1,2,1,1,1,2,0,3,0,2,0,0,5,1,2,3,1,2,2,3,1,1,3,1,6,1,3,1,1,2,2,2,1,2,10,4,2,2,1,1,4,1,5,1,6,5,10,3,1,11,9,2,2,2,0,2,0,0,3,1,0,10,10,1,1,0,0,2,2,4,1,1,0,1,1,11,1,14,7,0,0,2.82,3.21
acc_a_std_z,0,0,0,3,8,3,3,0,0,5,11,41,0,1,0,0,8,1,0,4,12,0,0,0,1,5,0,2,0,0,2,0,0,1,0,0,2,2,0,0,3,0,20,5,3,1,0,0,1,1,0,0,2,0,2,0,0,1,0,8,1,8,2,1,7,0,0,4,5,1,0,1,0,0,4,0,2,0,0,11,10,1,0,0,1,0,13,4,1,1,0,1,1,2,0,25,7,0,0,2.79,5.72
gyro_f_subX_x,0,2,6,10,12,4,4,2,1,8,8,31,1,1,1,1,4,0,0,1,5,1,0,3,1,1,0,2,1,1,0,0,0,1,1,2,4,2,1,1,6,2,5,1,2,1,2,1,4,0,1,3,3,1,4,1,1,0,4,3,1,5,3,1,2,4,1,3,2,3,2,0,0,4,3,1,0,1,1,7,6,0,1,1,5,2,12,1,1,0,1,1,1,3,1,25,0,0,1,2.78,4.41
gyro_a_mainX_x,1,1,5,6,13,2,2,1,0,7,13,18,1,0,1,0,8,0,1,2,7,1,1,2,0,2,0,2,0,1,5,1,1,1,1,2,0,10,1,1,2,0,14,1,2,0,0,2,0,1,0,1,4,1,3,1,1,0,1,1,3,5,5,4,7,2,1,9,2,2,1,2,1,3,1,0,1,1,0,12,7,1,1,0,2,0,2,3,1,1,0,1,1,7,1,23,5,0,0,2.77,4.03
acc_p_max_y,0,0,6,2,6,4,6,1,0,3,9,17,0,1,0,0,3,0,0,3,8,0,0,1,1,1,1,1,0,0,4,0,0,3,1,1,3,1,0,0,3,1,12,5,2,0,1,3,3,2,0,0,12,2,4,0,0,0,3,5,0,7,7,6,3,3,0,6,6,3,0,4,0,1,3,1,2,0,1,21,11,0,0,1,1,1,13,3,0,0,0,0,0,6,0,15,2,0,0,2.75,3.99
acc_a_subX_z,0,1,6,3,12,8,4,1,0,8,8,15,1,0,0,1,6,1,1,1,3,1,0,1,2,2,1,0,0,2,2,1,0,3,0,1,5,2,0,1,4,3,9,3,6,1,2,1,4,0,1,1,4,1,4,1,0,0,6,2,3,5,2,2,4,1,1,5,4,4,2,2,0,1,2,1,2,1,1,17,15,1,0,1,2,1,8,2,1,1,2,0,1,4,1,10,3,0,1,2.74,3.35
